"","param","est_se_nonadhd","est_se_adhd","naughty"
"1","selfeff =~ C1_1","1.00 (0.00)","",FALSE
"2","selfeff =~ C1_2","1.03 (0.06)","",FALSE
"3","selfeff =~ C1_3","1.06 (0.06)","",FALSE
"4","selfeff =~ C1_4","0.99 (0.06)","",FALSE
"5","order =~ C2_1","1.00 (0.00)","",FALSE
"6","order =~ C2_2","1.30 (0.13)","",FALSE
"7","order =~ C2_3","1.65 (0.14)","",FALSE
"8","order =~ C2_4","1.57 (0.13)","",FALSE
"9","duty =~ C3_1","1.00 (0.00)","",FALSE
"10","duty =~ C3_2","0.75 (0.08)","",FALSE
"11","duty =~ C3_3","0.54 (0.10)","",FALSE
"12","duty =~ C3_4","1.08 (0.08)","",FALSE
"13","achieve =~ C4_1","1.00 (0.00)","",FALSE
"14","achieve =~ C4_2","0.90 (0.08)","",FALSE
"15","achieve =~ C4_3","0.93 (0.09)","",FALSE
"16","achieve =~ C4_4","1.22 (0.11)","",FALSE
"17","selfdisc =~ C5_1","1.00 (0.00)","",FALSE
"18","selfdisc =~ C5_2","0.89 (0.09)","",FALSE
"19","selfdisc =~ C5_3","1.28 (0.12)","",FALSE
"20","selfdisc =~ C5_4","0.98 (0.11)","",FALSE
"21","caution =~ C6_1","1.00 (0.00)","",FALSE
"22","caution =~ C6_2","1.15 (0.07)","",FALSE
"23","caution =~ C6_3","1.17 (0.07)","",FALSE
"24","caution =~ C6_4","1.08 (0.08)","1.19 (0.10)",TRUE
"25","selfeff ~~ order","0.12 (0.03)","",FALSE
"26","selfeff ~~ duty","0.20 (0.03)","",FALSE
"27","selfeff ~~ achieve","0.26 (0.04)","",FALSE
"28","selfeff ~~ selfdisc","0.31 (0.05)","",FALSE
"29","selfeff ~~ caution","0.21 (0.04)","",FALSE
"30","order ~~ duty","0.07 (0.03)","",FALSE
"31","order ~~ achieve","0.13 (0.04)","",FALSE
"32","order ~~ selfdisc","0.22 (0.04)","",FALSE
"33","order ~~ caution","0.10 (0.04)","",FALSE
"34","duty ~~ achieve","0.17 (0.04)","",FALSE
"35","duty ~~ selfdisc","0.23 (0.04)","",FALSE
"36","duty ~~ caution","0.18 (0.04)","",FALSE
"37","achieve ~~ selfdisc","0.31 (0.05)","",FALSE
"38","achieve ~~ caution","0.26 (0.05)","",FALSE
"39","selfdisc ~~ caution","0.25 (0.05)","",FALSE
"40","C1_1 ~1 ","4.14 (0.05)","",FALSE
"41","C1_2 ~1 ","3.95 (0.05)","",FALSE
"42","C1_3 ~1 ","3.75 (0.06)","",FALSE
"43","C1_4 ~1 ","4.03 (0.05)","",FALSE
"44","C2_1 ~1 ","3.82 (0.07)","",FALSE
"45","C2_2 ~1 ","3.24 (0.08)","",FALSE
"46","C2_3 ~1 ","3.42 (0.08)","",FALSE
"47","C2_4 ~1 ","3.38 (0.08)","",FALSE
"48","C3_1 ~1 ","4.19 (0.05)","",FALSE
"49","C3_2 ~1 ","4.05 (0.05)","3.76 (0.11)",TRUE
"50","C3_3 ~1 ","3.73 (0.07)","3.28 (0.12)",TRUE
"51","C3_4 ~1 ","4.13 (0.05)","",FALSE
"52","C4_1 ~1 ","3.76 (0.06)","",FALSE
"53","C4_2 ~1 ","4.28 (0.05)","",FALSE
"54","C4_3 ~1 ","4.10 (0.06)","",FALSE
"55","C4_4 ~1 ","3.61 (0.07)","",FALSE
"56","C5_1 ~1 ","3.48 (0.06)","",FALSE
"57","C5_2 ~1 ","3.72 (0.06)","",FALSE
"58","C5_3 ~1 ","3.03 (0.08)","",FALSE
"59","C5_4 ~1 ","2.70 (0.08)","2.43 (0.13)",TRUE
"60","C6_1 ~1 ","3.63 (0.07)","",FALSE
"61","C6_2 ~1 ","3.84 (0.07)","",FALSE
"62","C6_3 ~1 ","3.80 (0.07)","",FALSE
"63","C6_4 ~1 ","3.97 (0.07)","3.74 (0.10)",TRUE
"64","selfeff ~1 ","0.00 (0.00)","",FALSE
"65","order ~1 ","0.00 (0.00)","",FALSE
"66","duty ~1 ","0.00 (0.00)","",FALSE
"67","achieve ~1 ","0.00 (0.00)","",FALSE
"68","selfdisc ~1 ","0.00 (0.00)","",FALSE
"69","caution ~1 ","0.00 (0.00)","",FALSE
